CTD,20130709ODF
# REPORTED CAST DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
NUMBER_HEADERS = 11
EXPOCODE = 318M20130321
SECT_ID = P02W
STNNBR = 35
CASTNO = 1
DATE = 20130415
TIME = 0212
LATITUDE =  30.0001
LONGITUDE =  147.7915
DEPTH =  6173
INSTRUMENT_ID = 914
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,TRANSM,TRANSM_FLAG_W,FLUORM,FLUORM_FLAG_W,CTDNOBS,CTDETIME
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,,
    132.0,2,  17.2279,2,  34.7222,2,    225.3,2,   4.4446,1,    0.005,1,       48,    886.2
    134.0,2,  17.2244,2,  34.7221,2,    225.1,2,   4.4455,1,    0.005,1,       48,    888.2
    136.0,2,  17.2244,2,  34.7226,2,    225.2,2,   4.4448,1,    0.005,1,       60,    890.5
    138.0,2,  17.2248,2,  34.7227,2,    225.1,2,   4.4460,1,    0.005,1,       48,    892.8
    140.0,2,  17.2240,2,  34.7230,2,    225.0,2,   4.4455,1,    0.005,1,       36,    894.5
    142.0,2,  17.2222,2,  34.7231,2,    224.9,2,   4.4465,1,    0.005,1,       60,    896.5
    144.0,2,  17.2192,2,  34.7231,2,    224.8,2,   4.4465,1,    0.005,1,       48,    898.8
    146.0,2,  17.2170,2,  34.7234,2,    225.0,2,   4.4469,1,    0.005,1,       48,    900.8
    148.0,2,  17.2110,2,  34.7233,2,    225.3,2,   4.4456,1,    0.005,1,       48,    902.8
    150.0,2,  17.2044,2,  34.7230,2,    225.4,2,   4.4465,1,    0.005,1,       48,    904.8
    152.0,2,  17.1899,2,  34.7228,2,    225.0,2,   4.4453,1,    0.005,1,       47,    906.7
    154.0,2,  17.1763,2,  34.7226,2,    225.0,2,   4.4479,1,    0.005,1,       60,    909.0
    156.0,2,  17.1697,2,  34.7225,2,    225.0,2,   4.4463,1,    0.005,1,       48,    911.2
    158.0,2,  17.1670,2,  34.7227,2,    224.9,2,   4.4476,1,    0.005,1,       36,    913.0
    160.0,2,  17.1621,2,  34.7230,2,    224.8,2,   4.4472,1,    0.005,1,       48,    914.8
    162.0,2,  17.1620,2,  34.7224,2,    224.8,2,   4.4480,1,    0.005,1,       72,    917.2
    164.0,2,  17.1554,2,  34.7219,2,    224.8,2,   4.4469,1,    0.005,1,       35,    919.5
    166.0,2,  17.1474,2,  34.7209,2,    224.7,2,   4.4482,1,    0.005,1,       24,    920.8
    168.0,2,  17.1425,2,  34.7208,2,    224.8,2,   4.4481,1,    0.005,1,       72,    922.8
    170.0,2,  17.1435,2,  34.7218,2,    224.9,2,   4.4484,1,    0.005,1,       60,    925.5
    172.0,2,  17.1376,2,  34.7216,2,    224.9,2,   4.4477,1,    0.004,1,       36,    927.5
    174.0,2,  17.1304,2,  34.7211,2,    225.1,2,   4.4486,1,    0.004,1,       36,    929.0
    176.0,2,  17.1296,2,  34.7208,2,    224.8,2,   4.4487,1,    0.004,1,       72,    931.2
    178.0,2,  17.1282,2,  34.7210,2,    224.7,2,   4.4489,1,    0.004,1,       36,    933.5
    180.0,2,  17.1291,2,  34.7223,2,    225.0,2,   4.4489,1,    0.004,1,       48,    935.2
    182.0,2,  17.1218,2,  34.7205,2,    225.3,2,   4.4486,1,    0.004,1,       47,    937.3
    184.0,2,  17.1220,2,  34.7215,2,    225.1,2,   4.4485,1,    0.004,1,       48,    939.2
    186.0,2,  17.1220,2,  34.7222,2,    225.4,2,   4.4495,1,    0.004,1,       60,    941.5
    188.0,2,  17.1206,2,  34.7225,2,    225.5,2,   4.4494,1,    0.004,1,       36,    943.5
    190.0,2,  17.1185,2,  34.7225,2,    225.7,2,   4.4488,1,    0.004,1,       48,    945.2
    192.0,2,  17.1170,2,  34.7224,2,    225.8,2,   4.4497,1,    0.004,1,       60,    947.5
    194.0,2,  17.1130,2,  34.7222,2,    225.5,2,   4.4496,1,    0.004,1,       48,    949.8
    196.0,2,  17.1079,2,  34.7223,2,    225.5,2,   4.4492,1,    0.004,1,       36,    951.5
    198.0,2,  17.1032,2,  34.7214,2,    225.6,2,   4.4495,1,    0.004,1,       48,    953.2
    200.0,2,  17.0959,2,  34.7191,2,    225.5,2,   4.4498,1,    0.004,1,       60,    955.5
    202.0,2,  17.0894,2,  34.7175,2,    224.9,2,   4.4495,1,    0.004,1,       47,    957.8
    204.0,2,  17.0645,2,  34.7125,2,    224.7,2,   4.4499,1,    0.004,1,       36,    959.5
    206.0,2,  17.0541,2,  34.7117,2,    223.8,2,   4.4498,1,    0.004,1,       59,    961.5
    208.0,2,  17.0489,2,  34.7119,2,    222.5,2,   4.4504,1,    0.004,1,       60,    964.0
    210.0,2,  17.0464,2,  34.7134,2,    221.9,2,   4.4502,1,    0.004,1,       36,    966.0
    212.0,2,  17.0477,2,  34.7158,2,    222.1,2,   4.4504,1,    0.004,1,       36,    967.5
    214.0,2,  17.0479,2,  34.7168,2,    222.8,2,   4.4508,1,    0.004,1,       48,    969.2
    216.0,2,  17.0411,2,  34.7171,2,    223.6,2,   4.4512,1,    0.004,1,       60,    971.5
    218.0,2,  17.0350,2,  34.7166,2,    224.1,2,   4.4514,1,    0.004,1,       48,    973.8
    220.0,2,  17.0231,2,  34.7152,2,    224.3,2,   4.4516,1,    0.004,1,       48,    975.8
    222.0,2,  17.0096,2,  34.7135,2,    224.3,2,   4.4514,1,    0.004,1,       36,    977.5
    224.0,2,  16.9938,2,  34.7118,2,    223.8,2,   4.4517,1,    0.004,1,       60,    979.5
    226.0,2,  16.9911,2,  34.7115,2,    223.3,2,   4.4519,1,    0.004,1,       60,    982.0
    228.0,2,  16.9896,2,  34.7115,2,    223.0,2,   4.4520,1,    0.004,1,       36,    984.0
    230.0,2,  16.9871,2,  34.7113,2,    223.0,2,   4.4514,1,    0.004,1,       36,    985.5
    232.0,2,  16.9837,2,  34.7110,2,    222.6,2,   4.4513,1,    0.004,1,       72,    987.8
    234.0,2,  16.9824,2,  34.7109,2,    222.1,2,   4.4518,1,    0.004,1,       48,    990.2
    236.0,2,  16.9810,2,  34.7107,2,    222.0,2,   4.4516,1,    0.004,1,       36,    992.0
    238.0,2,  16.9788,2,  34.7105,2,    222.1,2,   4.4519,1,    0.004,1,       48,    993.8
    240.0,2,  16.9765,2,  34.7102,2,    222.1,2,   4.4520,1,    0.004,1,       36,    995.5
    242.0,2,  16.9738,2,  34.7100,2,    222.1,2,   4.4521,1,    0.004,1,       72,    997.8
    244.0,2,  16.9720,2,  34.7099,2,    221.7,2,   4.4515,1,    0.004,1,       36,   1000.0
    246.0,2,  16.9680,2,  34.7094,2,    221.6,2,   4.4512,1,    0.004,1,       35,   1001.5
    248.0,2,  16.9342,2,  34.7056,2,    221.6,2,   4.4519,1,    0.004,1,       59,   1003.5
    250.0,2,  16.9190,2,  34.7047,2,    220.8,2,   4.4518,1,    0.004,1,       60,   1006.0
    252.0,2,  16.9114,2,  34.7039,2,    220.0,2,   4.4517,1,    0.004,1,       48,   1008.2
    254.0,2,  16.8997,2,  34.7023,2,    219.9,2,   4.4520,1,    0.004,1,       36,   1010.0
    256.0,2,  16.8898,2,  34.7010,2,    219.7,2,   4.4520,1,    0.004,1,       36,   1011.5
    258.0,2,  16.8723,2,  34.6990,2,    218.7,2,   4.4520,1,    0.004,1,       59,   1013.5
    260.0,2,  16.8623,2,  34.6979,2,    218.0,2,   4.4521,1,    0.004,1,       48,   1015.8
    262.0,2,  16.8529,2,  34.6972,2,    217.4,2,   4.4515,1,    0.004,1,       48,   1017.8
    264.0,2,  16.8420,2,  34.6962,2,    216.7,2,   4.4518,1,    0.004,1,       60,   1020.0
    266.0,2,  16.8388,2,  34.6960,2,    216.4,2,   4.4522,1,    0.004,1,       36,   1022.0
    268.0,2,  16.8350,2,  34.6957,2,    216.2,2,   4.4519,1,    0.004,1,       48,   1023.8
    270.0,2,  16.8300,2,  34.6952,2,    215.9,2,   4.4523,1,    0.004,1,       48,   1025.8
    272.0,2,  16.8268,2,  34.6949,2,    215.4,2,   4.4522,1,    0.004,1,       48,   1027.8
    274.0,2,  16.8183,2,  34.6941,2,    215.2,2,   4.4521,1,    0.004,1,       59,   1030.0
    276.0,2,  16.7968,2,  34.6920,2,    215.2,2,   4.4525,1,    0.004,1,       35,   1032.0
    278.0,2,  16.7705,2,  34.6892,2,    214.8,2,   4.4525,1,    0.004,1,       48,   1033.8
    280.0,2,  16.7314,2,  34.6861,2,    214.0,2,   4.4525,1,    0.004,1,       47,   1035.7
    282.0,2,  16.7168,2,  34.6850,2,    213.1,2,   4.4525,1,    0.004,1,       48,   1037.8
    284.0,2,  16.7023,2,  34.6842,2,    212.4,2,   4.4527,1,    0.004,1,       59,   1040.0
    286.0,2,  16.6831,2,  34.6834,2,    212.1,2,   4.4527,1,    0.004,1,       48,   1042.2
    288.0,2,  16.6544,2,  34.6798,2,    212.0,2,   4.4528,1,    0.004,1,       48,   1044.2
    290.0,2,  16.6327,2,  34.6770,2,    211.1,2,   4.4501,1,    0.004,1,       36,   1046.0
    292.0,2,  16.6021,2,  34.6751,2,    210.3,2,   4.4526,1,    0.004,1,       48,   1047.8
    294.0,2,  16.5730,2,  34.6751,2,    209.5,2,   4.4529,1,    0.004,1,       48,   1049.8
